NAME,AGE,IS_DECEASED,PREDICTION
Chris Matthews,78.0,False,0.831
Jean-Luc Godard,93.0,False,0.83
Paul Carr,44.0,False,0.83
Sergei Lavrov,73.0,False,0.83
Thabo Mbeki,81.0,False,0.828
Gabriele Salvatores,73.0,False,0.827
Gordon Brown,72.0,False,0.827
Konstantin Novoselov,49.0,False,0.827
Irwin Winkler,92.0,False,0.827
Flavio Briatore,73.0,False,0.827
Kathleen Turner,69.0,False,0.826
Richard Leakey,79.0,False,0.826
Mary Carey,43.0,False,0.823
Pat Sullivan,73.0,False,0.822
Yngwie Malmsteen,60.0,False,0.822
Manmohan Singh,91.0,False,0.821
Meat Loaf,76.0,False,0.82
Joe Trippi,67.0,False,0.82
Engelbert Humperdinck,87.0,False,0.82
Elian Gonzalez,30.0,False,0.819
Wolfgang Tillmans,55.0,False,0.819
Ayman al-Zawahiri,72.0,False,0.819
Sebastian Thrun,56.0,False,0.819
Markus Popp,55.0,False,0.819
Andrew J. Viterbi,88.0,False,0.819
Peter W. Likins,87.0,False,0.817
Ray Kurzweil,75.0,False,0.816
Eddy Merckx,78.0,False,0.815
Julie Finley,85.0,False,0.815
Valery Gergiev,70.0,False,0.813
Alexey Pajitnov,67.0,False,0.813
István Szabó,85.0,False,0.812
George Bowering,85.0,False,0.812
Marty Krofft,86.0,False,0.811
Peter Carey,80.0,False,0.811
Fred Silverman,86.0,False,0.811
Frank Serpico,87.0,False,0.811
Nikita Mikhalkov,78.0,False,0.811
Chris Crocker,36.0,False,0.811
Klaus Dibiasi,76.0,False,0.81
Bjarne Stroustrup,73.0,False,0.81
Sergey Kislyak,73.0,False,0.808
Gary Oldman,65.0,False,0.808
Mark Lester,65.0,False,0.808
Nikolai Dzhurmongaliev,71.0,False,0.808
Kevin Federline,45.0,False,0.808
Albert II,89.0,False,0.807
Marc Dutroux,67.0,False,0.807
Godfried Danneels,90.0,False,0.807
Carlos Saura,91.0,False,0.806
Lil' Boosie,40.0,False,0.806
Francisco Brines,91.0,False,0.806
Mandy Moore,39.0,False,0.805
Harry Styles,29.0,False,0.805
Nat Wolff,29.0,False,0.803
Armin Meiwes,62.0,False,0.801
Junichiro Koizumi,81.0,False,0.801
Sascha Konietzko,62.0,False,0.801
Petula Clark,91.0,False,0.8
James Lovelock,104.0,False,0.8
Gabriele Veneziano,81.0,False,0.799
Milo Manara,78.0,False,0.799
Roberto Cavalli,83.0,False,0.799
Wolfgang Ketterle,66.0,False,0.798
Till Lindemann,60.0,False,0.798
Hans Zimmer,66.0,False,0.798
Roland Emmerich,68.0,False,0.798
Andreas Gursky,68.0,False,0.798
Kai Krause,66.0,False,0.798
Joyce L. Kennard,82.0,False,0.798
Prince Ernst August of Hanover,69.0,False,0.798
Uwe Boll,58.0,False,0.798
Shirley Hughes,96.0,False,0.798
Rudy Ratzinger,57.0,False,0.798
Paul Sorvino,84.0,False,0.797
Ralph Lauren,84.0,False,0.797
José Carreras,77.0,False,0.797
Susan Blanchard,95.0,False,0.797
Barbara Barrie,92.0,False,0.796
Donna Mills,83.0,False,0.796
Carl XVI Gustaf,77.0,False,0.795
Lasse Hallstrom,77.0,False,0.795
Klaus Meine,75.0,False,0.793
J. Georg Bednorz,73.0,False,0.793
Max Baucus,82.0,False,0.793
Harold Faltermeyer,71.0,False,0.793
Hartmut Michel,75.0,False,0.793
Andrei Lugovoi,57.0,False,0.792
Garry Kasparov,60.0,False,0.792
Grigori Perelman,57.0,False,0.792
Helmut Berger,79.0,False,0.791
Willow Smith,23.0,False,0.79
John Coleman,89.0,False,0.79
Christoph Waltz,67.0,False,0.789
Alan Minter,72.0,False,0.788
Rocky Colavito,90.0,False,0.788
John Scalzi,54.0,False,0.788
Bille August,75.0,False,0.787
Kim Jong Un,39.0,False,0.787
Peter B. Hirsch,98.0,False,0.787
Craig Shergold,44.0,False,0.787
Bernard Cornwell,79.0,False,0.787
Antony Hewish,99.0,False,0.787
